id,full_name,team_id,team_abbreviation,age,gp,min,pts,reb,ast,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG,headline_stats
201143,Al Horford,1610612738,BOS,38.0,65,1739.7966666666666,562,413,168,201143,Al,Horford,Al Horford,"Horford, Al",A. Horford,al-horford,1986-06-03T00:00:00,Florida,Dominican Republic,Florida/Dominican Republic,6-9,240,17,42,Center-Forward,Active,Y,1610612738,Celtics,BOS,celtics,Boston,al_horford,2007,2024,N,Y,Y,2007,1,3,N,"{'PLAYER_ID': 201143, 'PLAYER_NAME': 'Al Horford', 'TimeFrame': '2024-25', 'PTS': 8.5, 'AST': 2.0, 'REB': 5.9, 'PIE': 0.087}"
202692,Alec Burks,1610612752,NYK,32.0,66,1211.545,689,150,88,202692,Alec,Burks,Alec Burks,"Burks, Alec",A. Burks,alec-burks,1991-07-20T00:00:00,Colorado,USA,Colorado/USA,6-5,214,13,18,Guard,Active,Y,1610612748,Heat,MIA,heat,Miami,alec_burks,2011,2024,Y,Y,Y,2011,1,12,N,"{'PLAYER_ID': 202692, 'PLAYER_NAME': 'Alec Burks', 'TimeFrame': '2024-25', 'PTS': 6.4, 'AST': 1.1, 'REB': 2.7, 'PIE': 0.086}"
1630197,Aleksej Pokusevski,1610612766,CHA,22.0,28,405.3833333333333,146,89,35,1630197,Aleksej,Pokusevski,Aleksej Pokusevski,"Pokusevski, Aleksej",A. Pokusevski,aleksej-pokusevski,2001-12-26T00:00:00,Olympiacos,Serbia,Olympiacos/Serbia,7-0,210,5,17,Forward,Inactive,N,1610612766,Hornets,CHA,hornets,Charlotte,aleksej_pokusevski,2020,2023,Y,Y,Y,2020,1,17,N,"{'PLAYER_ID': 1630197, 'PLAYER_NAME': 'Aleksej Pokusevski', 'TimeFrame': 'career', 'PTS': 7.5, 'AST': 1.9, 'REB': 4.6, 'ALL_STAR_APPEARANCES': 0}"
1627936,Alex Caruso,1610612741,CHI,30.0,71,2040.3433333333332,715,273,247,1627936,Alex,Caruso,Alex Caruso,"Caruso, Alex",A. Caruso,alex-caruso,1994-02-28T00:00:00,Texas A&M,USA,Texas A&M/USA,6-5,186,7,9,Guard,Active,Y,1610612760,Thunder,OKC,thunder,Oklahoma City,alex_caruso,2017,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,"{'PLAYER_ID': 1627936, 'PLAYER_NAME': 'Alex Caruso', 'TimeFrame': '2024-25', 'PTS': 6.5, 'AST': 2.5, 'REB': 2.6, 'PIE': 0.094}"
1641788,Alex Fudge,1610612742,DAL,21.0,6,40.21666666666667,15,5,0,1641788,Alex,Fudge,Alex Fudge,"Fudge, Alex",A. Fudge,alex-fudge,2003-05-06T00:00:00,Florida,USA,Florida/USA,6-8,200,2,17,Forward,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,alex_fudge,2023,2023,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,"{'PLAYER_ID': 1641788, 'PLAYER_NAME': 'Alex Fudge', 'TimeFrame': 'career', 'PTS': 2.5, 'AST': 0.0, 'REB': 0.8, 'ALL_STAR_APPEARANCES': 0}"
203458,Alex Len,1610612758,SAC,31.0,48,444.245,120,128,50,203458,Alex,Len,Alex Len,"Len, Alex",A. Len,alex-len,1993-06-16T00:00:00,Maryland,Ukraine,Maryland/Ukraine,7-0,250,11,27,Center,Active,Y,1610612747,Lakers,LAL,lakers,Los Angeles,alex_len,2013,2024,N,Y,Y,2013,1,5,N,"{'PLAYER_ID': 203458, 'PLAYER_NAME': 'Alex Len', 'TimeFrame': '2024-25', 'PTS': 1.4, 'AST': 0.8, 'REB': 1.9, 'PIE': 0.062}"
1631214,Alondes Williams,1610612748,MIA,25.0,7,15.595,5,1,0,1631214,Alondes,Williams,Alondes Williams,"Williams, Alondes",A. Williams,alondes-williams,1999-06-19T00:00:00,Wake Forest,USA,Wake Forest/USA,6-4,210,2,,Guard,Inactive,Y,0,,,,,alondes_williams,2022,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,"{'PLAYER_ID': 1631214, 'PLAYER_NAME': 'Alondes Williams', 'TimeFrame': '2024-25', 'PTS': 5.0, 'AST': 1.0, 'REB': 0.0, 'PIE': 0.4}"
1630578,Alperen Sengun,1610612745,HOU,21.0,63,2045.635,1331,589,312,1630578,Alperen,Sengun,Alperen Sengun,"Sengun, Alperen",A. Sengun,alperen-sengun,2002-07-25T00:00:00,Besiktas,Turkey,Besiktas/Turkey,6-11,243,3,28,Center,Active,Y,1610612745,Rockets,HOU,rockets,Houston,alperen_sengun,2021,2024,N,Y,Y,2021,1,16,N,"{'PLAYER_ID': 1630578, 'PLAYER_NAME': 'Alperen Sengun', 'TimeFrame': '2024-25', 'PTS': 19.2, 'AST': 4.9, 'REB': 10.5, 'PIE': 0.157}"
1641735,Amari Bailey,1610612766,CHA,20.0,10,64.63333333333334,23,9,7,1641735,Amari,Bailey,Amari Bailey,"Bailey, Amari",A. Bailey,amari-bailey,2004-02-17T00:00:00,UCLA,USA,UCLA/USA,6-3,185,2,10,Guard,Inactive,Y,1610612766,Hornets,CHA,hornets,Charlotte,amari_bailey,2023,2023,Y,Y,Y,2023,2,41,N,"{'PLAYER_ID': 1641735, 'PLAYER_NAME': 'Amari Bailey', 'TimeFrame': 'career', 'PTS': 2.3, 'AST': 0.7, 'REB': 0.9, 'ALL_STAR_APPEARANCES': 0}"
1641708,Amen Thompson,1610612745,HOU,21.0,62,1388.5316666666668,592,409,163,1641708,Amen,Thompson,Amen Thompson,"Thompson, Amen",A. Thompson,amen-thompson,2003-01-30T00:00:00,Overtime Elite,USA,Overtime Elite/USA,6-7,200,1,1,Guard-Forward,Active,Y,1610612745,Rockets,HOU,rockets,Houston,amen_thompson,2023,2024,Y,Y,Y,2023,1,4,N,"{'PLAYER_ID': 1641708, 'PLAYER_NAME': 'Amen Thompson', 'TimeFrame': '2024-25', 'PTS': 14.0, 'AST': 3.6, 'REB': 8.3, 'PIE': 0.128}"
1629599,Amir Coffey,1610612746,LAC,27.0,70,1460.5966666666666,463,148,76,1629599,Amir,Coffey,Amir Coffey,"Coffey, Amir",A. Coffey,amir-coffey,1997-06-17T00:00:00,Minnesota,USA,Minnesota/USA,6-7,210,5,7,Guard-Forward,Active,Y,1610612746,Clippers,LAC,clippers,LA,amir_coffey,2019,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,"{'PLAYER_ID': 1629599, 'PLAYER_NAME': 'Amir Coffey', 'TimeFrame': '2024-25', 'PTS': 10.2, 'AST': 1.1, 'REB': 2.3, 'PIE': 0.073}"
203083,Andre Drummond,1610612741,CHI,30.0,79,1351.2516666666668,663,708,37,203083,Andre,Drummond,Andre Drummond,"Drummond, Andre",A. Drummond,andre-drummond,1993-08-10T00:00:00,Connecticut,USA,Connecticut/USA,6-11,279,12,1,Center,Active,Y,1610612755,76ers,PHI,sixers,Philadelphia,andre_drummond,2012,2024,N,Y,Y,2012,1,9,N,"{'PLAYER_ID': 203083, 'PLAYER_NAME': 'Andre Drummond', 'TimeFrame': '2024-25', 'PTS': 7.3, 'AST': 0.9, 'REB': 7.8, 'PIE': 0.109}"
1641748,Andre Jackson Jr.,1610612749,MIL,22.0,57,572.3283333333334,125,113,50,1641748,Andre,Jackson Jr.,Andre Jackson Jr.,"Jackson Jr., Andre",A. Jackson Jr.,andre-jackson-jr,2001-11-13T00:00:00,Connecticut,USA,Connecticut/USA,6-6,209,1,44,Guard,Active,Y,1610612749,Bucks,MIL,bucks,Milwaukee,andre_jackson_jr,2023,2024,Y,Y,Y,2023,2,36,N,"{'PLAYER_ID': 1641748, 'PLAYER_NAME': 'Andre Jackson Jr.', 'TimeFrame': '2024-25', 'PTS': 3.6, 'AST': 1.3, 'REB': 2.9, 'PIE': 0.05}"
1641847,Andrew Funk,1610612741,CHI,24.0,5,13.4,0,0,0,1641847,Andrew,Funk,Andrew Funk,"Funk, Andrew",A. Funk,andrew-funk,1999-09-21T00:00:00,Penn State,USA,Penn State/USA,6-5,200,2,,Guard,Inactive,Y,1610612741,Bulls,CHI,bulls,Chicago,andrew_funk,2023,2023,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,"{'PLAYER_ID': 1641847, 'PLAYER_NAME': 'Andrew Funk', 'TimeFrame': 'career', 'PTS': 0.0, 'AST': 0.0, 'REB': 0.0, 'ALL_STAR_APPEARANCES': 0}"
1629614,Andrew Nembhard,1610612754,IND,24.0,68,1696.685,626,141,280,1629614,Andrew,Nembhard,Andrew Nembhard,"Nembhard, Andrew",A. Nembhard,andrew-nembhard,2000-01-16T00:00:00,Gonzaga,Canada,Gonzaga/Canada,6-4,191,2,2,Guard-Forward,Active,Y,1610612754,Pacers,IND,pacers,Indiana,andrew_nembhard,2022,2024,N,Y,Y,2022,2,31,N,"{'PLAYER_ID': 1629614, 'PLAYER_NAME': 'Andrew Nembhard', 'TimeFrame': '2024-25', 'PTS': 10.1, 'AST': 5.1, 'REB': 3.2, 'PIE': 0.082}"
203952,Andrew Wiggins,1610612744,GSW,29.0,71,1920.4483333333333,939,321,119,203952,Andrew,Wiggins,Andrew Wiggins,"Wiggins, Andrew",A. Wiggins,andrew-wiggins,1995-02-23T00:00:00,Kansas,Canada,Kansas/Canada,6-7,197,10,22,Forward,Active,Y,1610612748,Heat,MIA,heat,Miami,andrew_wiggins,2014,2024,N,Y,Y,2014,1,1,N,"{'PLAYER_ID': 203952, 'PLAYER_NAME': 'Andrew Wiggins', 'TimeFrame': '2024-25', 'PTS': 17.7, 'AST': 2.5, 'REB': 4.5, 'PIE': 0.101}"
1629014,Anfernee Simons,1610612757,POR,25.0,46,1581.7433333333333,1039,167,255,1629014,Anfernee,Simons,Anfernee Simons,"Simons, Anfernee",A. Simons,anfernee-simons,1999-06-08T00:00:00,Edgewater HS (FL),USA,Edgewater HS (FL)/USA,6-3,200,6,1,Guard,Active,Y,1610612757,Trail Blazers,POR,blazers,Portland,anfernee_simons,2018,2024,Y,Y,Y,2018,1,24,N,"{'PLAYER_ID': 1629014, 'PLAYER_NAME': 'Anfernee Simons', 'TimeFrame': '2024-25', 'PTS': 19.4, 'AST': 4.8, 'REB': 2.7, 'PIE': 0.108}"
1641710,Anthony Black,1610612753,ORL,20.0,69,1164.21,316,139,91,1641710,Anthony,Black,Anthony Black,"Black, Anthony",A. Black,anthony-black,2004-01-20T00:00:00,Arkansas,USA,Arkansas/USA,6-7,200,1,0,Guard,Active,Y,1610612753,Magic,ORL,magic,Orlando,anthony_black,2023,2024,N,Y,Y,2023,1,6,N,"{'PLAYER_ID': 1641710, 'PLAYER_NAME': 'Anthony Black', 'TimeFrame': '2024-25', 'PTS': 9.0, 'AST': 3.0, 'REB': 2.7, 'PIE': 0.08}"
203076,Anthony Davis,1610612747,LAL,31.0,76,2700.2433333333333,1876,961,266,203076,Anthony,Davis,Anthony Davis,"Davis, Anthony",A. Davis,anthony-davis,1993-03-11T00:00:00,Kentucky,USA,Kentucky/USA,6-10,253,12,3,Forward-Center,Active,Y,1610612742,Mavericks,DAL,mavericks,Dallas,anthony_davis,2012,2024,N,Y,Y,2012,1,1,Y,"{'PLAYER_ID': 203076, 'PLAYER_NAME': 'Anthony Davis', 'TimeFrame': '2024-25', 'PTS': 25.7, 'AST': 3.4, 'REB': 12.0, 'PIE': 0.185}"
1630162,Anthony Edwards,1610612750,MIN,22.0,79,2770.383333333333,2049,430,405,1630162,Anthony,Edwards,Anthony Edwards,"Edwards, Anthony",A. Edwards,anthony-edwards,2001-08-05T00:00:00,Georgia,USA,Georgia/USA,6-4,225,4,5,Guard,Active,Y,1610612750,Timberwolves,MIN,timberwolves,Minnesota,anthony_edwards,2020,2024,N,Y,Y,2020,1,1,N,"{'PLAYER_ID': 1630162, 'PLAYER_NAME': 'Anthony Edwards', 'TimeFrame': '2024-25', 'PTS': 27.4, 'AST': 4.6, 'REB': 5.9, 'PIE': 0.14}"
1630264,Anthony Gill,1610612764,WAS,31.0,50,466.49666666666667,189,94,34,1630264,Anthony,Gill,Anthony Gill,"Gill, Anthony",A. Gill,anthony-gill,1992-10-17T00:00:00,Virginia,USA,Virginia/USA,6-8,230,4,16,Forward,Active,Y,1610612764,Wizards,WAS,wizards,Washington,anthony_gill,2020,2024,N,Y,Y,Undrafted,Undrafted,Undrafted,N,"{'PLAYER_ID': 1630264, 'PLAYER_NAME': 'Anthony Gill', 'TimeFrame': '2024-25', 'PTS': 1.8, 'AST': 0.2, 'REB': 0.8, 'PIE': 0.068}"
1629717,Armoni Brooks,1610612751,BKN,26.0,10,104.02333333333333,42,18,5,1629717,Armoni,Brooks,Armoni Brooks,"Brooks, Armoni",A. Brooks,armoni-brooks,1998-06-05T00:00:00,Houston,USA,Houston/USA,6-3,195,3,,Guard,Inactive,N,0,,,,,armoni_brooks,2020,2023,Y,Y,Y,2019,,,N,"{'PLAYER_ID': 1629717, 'PLAYER_NAME': 'Armoni Brooks', 'TimeFrame': 'career', 'PTS': 6.6, 'AST': 1.2, 'REB': 2.3, 'ALL_STAR_APPEARANCES': 0}"
1630204,Ashton Hagans,1610612757,POR,24.0,19,315.57166666666666,80,45,54,1630204,Ashton,Hagans,Ashton Hagans,"Hagans, Ashton",A. Hagans,ashton-hagans,1999-07-08T00:00:00,Kentucky,USA,Kentucky/USA,6-3,190,3,19,Guard-Forward,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,ashton_hagans,2020,2023,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,"{'PLAYER_ID': 1630204, 'PLAYER_NAME': 'Ashton Hagans', 'TimeFrame': 'career', 'PTS': 3.8, 'AST': 2.6, 'REB': 2.1, 'ALL_STAR_APPEARANCES': 0}"
1641709,Ausar Thompson,1610612765,DET,21.0,63,1582.805,556,402,120,1641709,Ausar,Thompson,Ausar Thompson,"Thompson, Ausar",A. Thompson,ausar-thompson,2003-01-30T00:00:00,Overtime Elite,USA,Overtime Elite/USA,6-6,205,1,9,Guard-Forward,Active,Y,1610612765,Pistons,DET,pistons,Detroit,ausar_thompson,2023,2024,N,Y,Y,2023,1,5,N,"{'PLAYER_ID': 1641709, 'PLAYER_NAME': 'Ausar Thompson', 'TimeFrame': '2024-25', 'PTS': 9.5, 'AST': 2.2, 'REB': 5.0, 'PIE': 0.102}"
1630559,Austin Reaves,1610612747,LAL,26.0,82,2628.95,1300,352,450,1630559,Austin,Reaves,Austin Reaves,"Reaves, Austin",A. Reaves,austin-reaves,1998-05-29T00:00:00,Oklahoma,USA,Oklahoma/USA,6-5,197,3,15,Guard,Active,Y,1610612747,Lakers,LAL,lakers,Los Angeles,austin_reaves,2021,2024,N,Y,Y,Undrafted,Undrafted,Undrafted,N,"{'PLAYER_ID': 1630559, 'PLAYER_NAME': 'Austin Reaves', 'TimeFrame': '2024-25', 'PTS': 19.4, 'AST': 5.9, 'REB': 4.4, 'PIE': 0.116}"
1630245,Ayo Dosunmu,1610612741,CHI,24.0,76,2212.4683333333332,924,216,242,1630245,Ayo,Dosunmu,Ayo Dosunmu,"Dosunmu, Ayo",A. Dosunmu,ayo-dosunmu,2000-01-17T00:00:00,Illinois,USA,Illinois/USA,6-5,200,3,11,Guard,Active,Y,1610612741,Bulls,CHI,bulls,Chicago,ayo_dosunmu,2021,2024,N,Y,Y,2021,2,38,N,"{'PLAYER_ID': 1630245, 'PLAYER_NAME': 'Ayo Dosunmu', 'TimeFrame': '2024-25', 'PTS': 12.3, 'AST': 4.5, 'REB': 3.5, 'PIE': 0.084}"
1628389,Bam Adebayo,1610612748,MIA,26.0,71,2416.4733333333334,1367,737,278,1628389,Bam,Adebayo,Bam Adebayo,"Adebayo, Bam",B. Adebayo,bam-adebayo,1997-07-18T00:00:00,Kentucky,USA,Kentucky/USA,6-9,255,7,13,Center-Forward,Active,Y,1610612748,Heat,MIA,heat,Miami,bam_adebayo,2017,2024,N,Y,Y,2017,1,14,N,"{'PLAYER_ID': 1628389, 'PLAYER_NAME': 'Bam Adebayo', 'TimeFrame': '2024-25', 'PTS': 17.5, 'AST': 4.3, 'REB': 9.9, 'PIE': 0.136}"
1641767,Ben Sheppard,1610612754,IND,22.0,57,814.26,252,89,53,1641767,Ben,Sheppard,Ben Sheppard,"Sheppard, Ben",B. Sheppard,ben-sheppard,2001-07-16T00:00:00,Belmont,USA,Belmont/USA,6-6,190,1,26,Guard,Active,Y,1610612754,Pacers,IND,pacers,Indiana,ben_sheppard,2023,2024,Y,Y,Y,2023,1,26,N,"{'PLAYER_ID': 1641767, 'PLAYER_NAME': 'Ben Sheppard', 'TimeFrame': '2024-25', 'PTS': 5.8, 'AST': 1.3, 'REB': 2.7, 'PIE': 0.055}"
1627732,Ben Simmons,1610612751,BKN,27.0,15,358.9166666666667,92,119,86,1627732,Ben,Simmons,Ben Simmons,"Simmons, Ben",B. Simmons,ben-simmons,1996-07-20T00:00:00,Louisiana State,Australia,Louisiana State/Australia,6-10,240,6,25,Guard-Forward,Active,Y,1610612746,Clippers,LAC,clippers,LA,ben_simmons,2016,2024,N,Y,Y,2016,1,1,N,"{'PLAYER_ID': 1627732, 'PLAYER_NAME': 'Ben Simmons', 'TimeFrame': '2024-25', 'PTS': 6.0, 'AST': 6.5, 'REB': 5.1, 'PIE': 0.111}"
1631097,Bennedict Mathurin,1610612754,IND,22.0,59,1538.39,856,234,119,1631097,Bennedict,Mathurin,Bennedict Mathurin,"Mathurin, Bennedict",B. Mathurin,bennedict-mathurin,2002-06-19T00:00:00,Arizona,Canada,Arizona/Canada,6-5,210,2,00,Guard-Forward,Active,Y,1610612754,Pacers,IND,pacers,Indiana,bennedict_mathurin,2022,2024,N,Y,Y,2022,1,6,N,"{'PLAYER_ID': 1631097, 'PLAYER_NAME': 'Bennedict Mathurin', 'TimeFrame': '2024-25', 'PTS': 15.9, 'AST': 1.9, 'REB': 5.3, 'PIE': 0.09}"
1641731,Bilal Coulibaly,1610612764,WAS,19.0,63,1715.25,532,256,110,1641731,Bilal,Coulibaly,Bilal Coulibaly,"Coulibaly, Bilal",B. Coulibaly,bilal-coulibaly,2004-07-26T00:00:00,Metropolitans 92,France,Metropolitans 92/France,6-8,195,1,0,Guard,Active,Y,1610612764,Wizards,WAS,wizards,Washington,bilal_coulibaly,2023,2024,N,Y,Y,2023,1,7,N,"{'PLAYER_ID': 1641731, 'PLAYER_NAME': 'Bilal Coulibaly', 'TimeFrame': '2024-25', 'PTS': 12.3, 'AST': 3.4, 'REB': 5.0, 'PIE': 0.07}"
202687,Bismack Biyombo,1610612760,OKC,31.0,40,791.4616666666667,174,209,53,202687,Bismack,Biyombo,Bismack Biyombo,"Biyombo, Bismack",B. Biyombo,bismack-biyombo,1992-08-28T00:00:00,Baloncesto Fuenlabrada,DRC,Baloncesto Fuenlabrada/DRC,6-8,255,13,15,Center,Active,Y,1610612759,Spurs,SAS,spurs,San Antonio,bismack_biyombo,2011,2024,N,Y,Y,2011,1,7,N,"{'PLAYER_ID': 202687, 'PLAYER_NAME': 'Bismack Biyombo', 'TimeFrame': '2024-25', 'PTS': 5.3, 'AST': 1.2, 'REB': 4.9, 'PIE': 0.085}"
1631104,Blake Wesley,1610612759,SAS,21.0,61,875.925,268,94,166,1631104,Blake,Wesley,Blake Wesley,"Wesley, Blake",B. Wesley,blake-wesley,2003-03-16T00:00:00,Notre Dame,USA,Notre Dame/USA,6-3,185,2,14,Guard,Active,Y,1610612759,Spurs,SAS,spurs,San Antonio,blake_wesley,2022,2024,Y,Y,Y,2022,1,25,N,"{'PLAYER_ID': 1631104, 'PLAYER_NAME': 'Blake Wesley', 'TimeFrame': '2024-25', 'PTS': 2.9, 'AST': 1.8, 'REB': 0.7, 'PIE': 0.077}"
1626246,Boban Marjanović,1610612745,HOU,35.0,14,70.91,45,32,6,1626246,Boban,Marjanović,Boban Marjanović,"Marjanović, Boban",B. Marjanović,boban-marjanović,1988-08-15T00:00:00,Crvena zvezda,Serbia,Crvena zvezda/Serbia,7-4,290,10,51,Center,Inactive,N,1610612745,Rockets,HOU,rockets,Houston,boban_marjanovic,2015,2023,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,"{'PLAYER_ID': 1626246, 'PLAYER_NAME': 'Boban Marjanović', 'TimeFrame': 'career', 'PTS': 5.5, 'AST': 0.5, 'REB': 3.6, 'ALL_STAR_APPEARANCES': 0}"
